Item_Fat_Content,Item_Identifier,Item_Type,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Item_Visibility,Item_Weight,Total_Sales,Rating
Low Fat,NCY29,Health and Hygiene,1998,OUT019,Tier 1,Small,Grocery Store,0.135226964950562,NULL,56.2929992675781,4.19999980926514
Low Fat,NCG30,Household,1998,OUT019,Tier 1,Small,Grocery Store,0.196659952402115,NULL,125.80460357666,4.19999980926514
Low Fat,FDG31,Meat,1998,OUT019,Tier 1,Small,Grocery Store,0.0663516893982887,NULL,65.0826034545898,4.19999980926514
Low Fat,FDV15,Meat,1998,OUT019,Tier 1,Small,Grocery Store,0.255929082632065,NULL,103.364799499512,4.19999980926514
Low Fat,FDE46,Snack Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.0276106987148523,NULL,149.536605834961,4.19999980926514
Low Fat,DRF25,Soft Drinks,1998,OUT019,Tier 1,Small,Grocery Store,0.068153090775013,NULL,36.0190010070801,4.19999980926514
Low Fat,DRF49,Soft Drinks,1998,OUT019,Tier 1,Small,Grocery Store,0.124448291957378,NULL,112.051803588867,4.19999980926514
Low Fat,DRH37,Soft Drinks,1998,OUT019,Tier 1,Small,Grocery Store,0.07286486774683,NULL,165.252593994141,4.19999980926514
Regular,FDH14,Canned,1998,OUT019,Tier 1,Small,Grocery Store,0.0819557383656502,NULL,142.083801269531,4.19999980926514
Regular,FDE51,Dairy,1998,OUT019,Tier 1,Small,Grocery Store,0.168901845812798,NULL,43.4085998535156,4.19999980926514
Regular,FDL52,Frozen Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.0806979984045029,NULL,39.8506011962891,4.19999980926514
Regular,FDY28,Frozen Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.266396701335907,NULL,215.621795654297,4.19999980926514
Regular,FDE56,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.278730630874634,NULL,63.2193984985352,4.19999980926514
Regular,FDH45,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.185008987784386,NULL,42.3796005249023,4.19999980926514
Regular,FDH56,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.111735686659813,NULL,115.949203491211,4.19999980926514
Regular,FDO56,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.0787586495280266,NULL,116.380798339844,4.19999980926514
Regular,FDT55,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.0764345452189445,NULL,155.894607543945,4.19999980926514
Regular,FDY03,Meat,1998,OUT019,Tier 1,Small,Grocery Store,0.133279502391815,NULL,112.62020111084,4.19999980926514
Regular,FDS21,Snack Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.03655144572258,NULL,62.7193984985352,4.19999980926514
Low Fat,FDB50,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.153618559241295,13,79.698600769043,4.19999980926514
Low Fat,NCN30,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0169932041317225,16.3500003814697,95.7409973144531,4.19999980926514
Low Fat,FDV15,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,0.146172448992729,10.3000001907349,103.364799499512,4.19999980926514
Low Fat,FDZ12,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.102978818118572,9.17000007629395,144.947006225586,4.19999980926514
Low Fat,FDS23,Breads,2010,OUT046,Tier 1,Small,Supermarket Type1,0.140889108181,4.63500022888184,127.099403381348,4.19999980926514
Low Fat,FDR35,Breads,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0206977222114801,12.5,198.874206542969,4.19999980926514
Low Fat,FDX13,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0477829575538635,7.72499990463257,249.10920715332,4.19999980926514
Low Fat,FDG02,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0112611651420593,7.85500001907349,189.518798828125,4.19999980926514
Low Fat,FDO50,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0781687423586845,16.25,91.3804016113281,4.19999980926514
Low Fat,FDC28,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0549869202077389,7.90500020980835,108.625396728516,4.19999980926514
Low Fat,FDH41,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0820115208625793,9,213.353393554688,4.19999980926514
Low Fat,FDC17,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0154607258737087,12.1499996185303,211.892807006836,4.19999980926514
Low Fat,FDG40,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0398243442177773,13.6499996185303,32.8558006286621,4.19999980926514
Low Fat,FDG29,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0562919192016125,17.6000003814697,42.5453987121582,4.19999980926514
Low Fat,FDD05,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0166114754974842,19.3500003814697,122.009803771973,4.19999980926514
Low Fat,FDO32,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,0.120543614029884,6.3600001335144,45.8059997558594,4.19999980926514
Low Fat,DRH59,Hard Drinks,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0584334507584572,10.8000001907349,74.7379989624023,4.19999980926514
Low Fat,NCM17,Health and Hygiene,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0711358711123466,7.92999982833862,42.7085990905762,4.19999980926514
Low Fat,NCP29,Health and Hygiene,2010,OUT046,Tier 1,Small,Supermarket Type1,0.112271010875702,8.42000007629395,63.2168006896973,4.19999980926514
Low Fat,NCN41,Health and Hygiene,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0522093027830124,17,122.373001098633,4.19999980926514
Low Fat,NCP17,Health and Hygiene,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0277143716812134,19.3500003814697,65.6167984008789,4.19999980926514
Low Fat,NCA05,Health and Hygiene,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0251306314021349,20.75,150.073394775391,4.19999980926514
Low Fat,NCB31,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.118674360215664,6.2350001335144,261.691009521484,4.19999980926514
Low Fat,NCE07,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0131300305947661,8.18000030517578,142.61540222168,4.19999980926514
Low Fat,NCD19,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.013179387897253,8.93000030517578,55.1613998413086,4.19999980926514
Low Fat,NCP18,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0285982508212328,12.1499996185303,150.470794677734,4.19999980926514
Low Fat,NCG06,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0294453613460064,16.3500003814697,257.664611816406,4.19999980926514
Low Fat,NCC30,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0275791976600885,16.6000003814697,178.734405517578,4.19999980926514
Low Fat,NCI30,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0589355230331421,20.25,246.64599609375,4.19999980926514
Low Fat,FDS03,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0796286091208458,7.82499980926514,63.4826011657715,4.19999980926514
Low Fat,FDL43,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0270643811672926,10.1000003814697,76.3669967651367,4.19999980926514
Low Fat,FDV03,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0580912679433823,17.6000003814697,156.231399536133,4.19999980926514
Low Fat,NCL31,Others,2010,OUT046,Tier 1,Small,Supermarket Type1,0.120280988514423,7.3899998664856,142.746994018555,4.19999980926514
Low Fat,FDR58,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0419214628636837,6.67500019073486,92.3461990356445,4.19999980926514
Low Fat,FDF22,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0568306818604469,6.86499977111816,214.02180480957,4.19999980926514
Low Fat,FDZ10,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0444634892046452,17.8500003814697,127.101997375488,4.19999980926514
Low Fat,FDW45,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0390109904110432,18,147.741806030273,4.19999980926514
Low Fat,FDN45,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.118102766573429,19.3500003814697,224.808807373047,4.19999980926514
Low Fat,DRZ24,Soft Drinks,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0817875191569328,7.53499984741211,120.84400177002,4.19999980926514
Regular,FDS36,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0468873381614685,8.38000011444092,107.957000732422,4.19999980926514
Regular,FDJ60,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0625284239649773,19.3500003814697,166.918395996094,4.19999980926514
Regular,FDB37,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0229408256709576,20.25,241.853805541992,4.19999980926514
Regular,FDG38,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0527291409671307,8.97500038146973,86.4224014282227,4.19999980926514
Regular,FDI38,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.014626900665462,13.3500003814697,207.763793945313,4.19999980926514
Regular,FDI02,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.114565089344978,15.6999998092651,112.020202636719,4.19999980926514
Regular,FDD38,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.00819172896444798,16.75,103.567398071289,4.19999980926514
Regular,FDY49,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0120120709761977,17.2000007629395,163.118392944336,4.19999980926514
Regular,FDE05,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0324540473520756,10.8950004577637,144.810195922852,4.19999980926514
Regular,FDQ40,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0360275246202946,11.1000003814697,177.271194458008,4.19999980926514
Regular,FDI16,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.135775700211525,14,54.5639991760254,4.19999980926514
Regular,FDV28,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.159728392958641,16.1000003814697,34.3558006286621,4.19999980926514
Regular,FDZ43,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0570585466921329,11,241.751205444336,4.19999980926514
Regular,FDV19,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0352570377290249,14.8500003814697,161.257797241211,4.19999980926514
Regular,FDZ31,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,0.11321721971035,15.3500003814697,191.150405883789,4.19999980926514
Regular,FDS32,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0296539142727852,17.75,140.583801269531,4.19999980926514
Regular,FDQ32,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0466084964573383,17.8500003814697,122.93879699707,4.19999980926514
Regular,FDS27,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,0.012458142824471,10.1949996948242,196.311004638672,4.19999980926514
Regular,FDH31,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,0.020411154255271,12,98.6042022705078,4.19999980926514
Regular,FDL58,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0741490721702576,5.78000020980835,262.256805419922,4.19999980926514
Regular,FDH46,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0412822850048542,6.93499994277954,103.533203125,4.19999980926514
Regular,FDS58,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0,9.28499984741211,161.557800292969,4.19999980926514
Regular,FDU46,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0111263003200293,10.3000001907349,87.2539978027344,4.19999980926514
Regular,FDY57,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.121254235506058,20.2000007629395,94.5752029418945,4.19999980926514
Regular,FDH47,Starchy Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.128816217184067,13.5,96.4067993164063,4.19999980926514
Regular,FDE11,Starchy Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0,17.7000007629395,184.392395019531,4.19999980926514
Low Fat,FDV38,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.101980246603489,19.25,54.3955993652344,4.19999980926514
Low Fat,NCM06,Household,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0758814737200737,7.47499990463257,155.265594482422,4.19999980926514
Low Fat,NCO43,Others,2015,OUT045,Tier 2,Medium,Supermarket Type1,0,5.5,103.101600646973,4.19999980926514
Low Fat,FDB51,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0386715866625309,6.92000007629395,64.2852020263672,4.19999980926514
Low Fat,FDP33,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0897772163152695,18.7000007629395,256.467193603516,4.19999980926514
Low Fat,FDK48,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.037708543241024,7.44500017166138,74.7353973388672,4.19999980926514
Low Fat,FDZ48,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0761136710643768,17.75,111.454399108887,4.19999980926514
Low Fat,FDP24,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0831724107265472,20.6000003814697,121.07559967041,4.19999980926514
Low Fat,FDS37,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0320096537470818,7.65500020980835,117.249198913574,4.19999980926514
Low Fat,FDU13,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.187939003109932,8.35499954223633,146.941802978516,4.19999980926514
Low Fat,FDX01,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0242133419960737,10.1000003814697,116.714996337891,4.19999980926514
Low Fat,FDA13,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0787142589688301,15.8500003814697,37.2505989074707,4.19999980926514
Low Fat,FDZ15,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0209130719304085,13.1000003814697,120.178199768066,4.19999980926514
Low Fat,DRF51,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.166174545884132,15.75,37.4505996704102,4.19999980926514
Low Fat,FDD39,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0702971741557121,16.7000007629395,216.384994506836,4.19999980926514
Low Fat,FDS50,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0555457957088947,17,220.51139831543,4.19999980926514
Low Fat,FDO16,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.015138833783567,5.48000001907349,81.9250030517578,4.19999980926514
Low Fat,FDK40,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.021893709897995,7.03499984741211,262.790985107422,4.19999980926514
Low Fat,FDC28,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.055098433047533,7.90500020980835,109.225402832031,4.19999980926514
Low Fat,FDE29,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.143419399857521,8.90499973297119,61.4878005981445,4.19999980926514
Low Fat,FDH41,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0821778401732445,9,214.153396606445,4.19999980926514
Low Fat,FDX40,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0991939008235931,12.8500003814697,38.1164016723633,4.19999980926514
Low Fat,FDS40,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0140478247776628,15.3500003814697,36.7190017700195,4.19999980926514
Low Fat,FDJ04,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.124704442918301,18,120.312400817871,4.19999980926514
Low Fat,FDP19,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.173867955803871,11.5,128.865203857422,4.19999980926514
Low Fat,FDD33,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.108412057161331,12.8500003814697,233.264205932617,4.19999980926514
Low Fat,FDZ56,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0257891751825809,16.25,166.947402954102,4.19999980926514
Low Fat,FDY55,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0814851224422455,16.75,258.098785400391,4.19999980926514
Low Fat,FDI32,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0,17.7000007629395,115.083396911621,4.19999980926514
Low Fat,FDL44,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0123000126332045,18.25,160.489395141602,4.19999980926514
Low Fat,DRK47,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0641943067312241,7.90500020980835,229.46940612793,4.19999980926514
Low Fat,DRP35,Hard Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0910515785217285,18.8500003814697,127.433601379395,4.19999980926514
Low Fat,NCH29,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0345437191426754,5.51000022888184,99.7725982666016,4.19999980926514
Low Fat,NCY05,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0551015287637711,13.5,37.0873985290527,4.19999980926514
Low Fat,NCV41,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0170733314007521,14.3500003814697,109.522796630859,4.19999980926514
Low Fat,NCM41,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0357283018529415,16.5,95.2119979858398,4.19999980926514
Low Fat,NCW41,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.01548171043396,18,159.360397338867,4.19999980926514
Low Fat,NCA17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0455103106796741,20.6000003814697,149.639205932617,4.19999980926514
Low Fat,NCO26,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0770114958286285,7.2350001335144,117.349197387695,4.19999980926514
Low Fat,NCR42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0385599248111248,9.10499954223633,33.8899993896484,4.19999980926514
Low Fat,NCF42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.167722523212433,17.3500003814697,176.371200561523,4.19999980926514
Low Fat,NCM19,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0473330430686474,12.6499996185303,113.820198059082,4.19999980926514
Low Fat,NCQ38,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0133935371413827,16.3500003814697,106.02799987793,4.19999980926514
Low Fat,FDQ46,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.104023568332195,7.51000022888184,112.454399108887,4.19999980926514
Low Fat,FDI22,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0964075550436974,12.6000003814697,210.861206054688,4.19999980926514
Low Fat,FDH33,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.121972270309925,12.8500003814697,43.1427993774414,4.19999980926514
Low Fat,FDB34,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0266637783497572,15.25,87.0197982788086,4.19999980926514
Low Fat,FDV45,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0451387986540794,16.75,187.955596923828,4.19999980926514
Low Fat,FDM21,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0644946098327637,20.2000007629395,259.264587402344,4.19999980926514
Low Fat,DRZ24,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0,7.53499984741211,121.643997192383,4.19999980926514
Low Fat,DRL37,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0534804202616215,15.5,42.3769989013672,4.19999980926514
Low Fat,DRH25,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.014622624963522,18.7000007629395,52.032398223877,4.19999980926514
Low Fat,FDJ48,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0567540377378464,11.3000001907349,247.511795043945,4.19999980926514
Low Fat,FDH24,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0215523578226566,20.7000007629395,157.028793334961,4.19999980926514
Low Fat,FDK38,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0535913445055485,6.65000009536743,149.773406982422,4.19999980926514
Low Fat,FDE02,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.121936216950417,8.71000003814697,94.4777984619141,4.19999980926514
Low Fat,FDY25,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0341666080057621,12,181.297607421875,4.19999980926514
Low Fat,FDB50,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.154487490653992,13,77.2985992431641,4.19999980926514
Low Fat,FDT37,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0354696698486805,14.1499996185303,256.301391601563,4.19999980926514
Low Fat,FDH27,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0586769729852676,7.07499980926514,142.012802124023,4.19999980926514
Low Fat,FDP26,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.140342190861702,7.78499984741211,105.630599975586,4.19999980926514
Low Fat,FDZ15,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0209887977689505,13.1000003814697,117.778198242188,4.19999980926514
Low Fat,FDD03,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0802576839923859,13.3000001907349,232.630004882813,4.19999980926514
Low Fat,FDE53,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0270322039723396,10.8950004577637,106.328002929688,4.19999980926514
Low Fat,FDS40,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0140986926853657,15.3500003814697,37.2190017700195,4.19999980926514
Low Fat,FDY31,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0438092611730099,5.98000001907349,146.841796875,4.19999980926514
Low Fat,FDZ19,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0939835160970688,6.42500019073486,175.571197509766,4.19999980926514
Low Fat,FDQ20,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0299533139914274,8.32499980926514,39.513801574707,4.19999980926514
Low Fat,FDJ56,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.184440419077873,8.98499965667725,99.6699981689453,4.19999980926514
Low Fat,FDG57,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0727073103189468,14.6999998092651,49.5033988952637,4.19999980926514
Low Fat,FDI44,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.100799828767776,16.1000003814697,78.4328002929688,4.19999980926514
Low Fat,DRF23,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.123346082866192,4.6100001335144,172.539596557617,4.19999980926514
Low Fat,DRK59,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0758766010403633,8.89500045776367,235.96159362793,4.19999980926514
Low Fat,DRL35,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0308773033320904,15.6999998092651,42.1769981384277,4.19999980926514
Low Fat,NCR17,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0245212391018867,9.80000019073486,117.549201965332,4.19999980926514
Low Fat,NCO26,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0772903561592102,7.2350001335144,116.949203491211,4.19999980926514
Low Fat,NCE31,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.1858891248703,7.67000007629395,35.4216003417969,4.19999980926514
Low Fat,NCQ30,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.029236726462841,7.72499990463257,123.841400146484,4.19999980926514
Low Fat,NCR42,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0386995524168015,9.10499954223633,33.7900009155273,4.19999980926514
Low Fat,NCI18,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.0141033539548516,18.3500003814697,225.474594116211,4.19999980926514
Low Fat,NCJ42,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.0143822198733687,19.75,102.233200073242,4.19999980926514
Low Fat,FDS39,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.0225876215845346,6.89499998092651,143.781204223633,4.19999980926514
Low Fat,FDR33,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.0269404668360949,7.30999994277954,108.457000732422,4.19999980926514
Low Fat,FDJ09,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.0587251335382462,15,43.6744003295898,4.19999980926514
Low Fat,FDT57,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.0191424526274204,15.1999998092651,237.524795532227,4.19999980926514
Low Fat,FDS10,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.0353846102952957,19.2000007629395,180.331802368164,4.19999980926514
Low Fat,DRM37,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.0969430804252625,15.3500003814697,196.576797485352,4.19999980926514
Regular,FDL24,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,0.0249470807611942,10.3000001907349,172.342193603516,4.19999980926514
Regular,FDT24,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,0.18623623251915,12.3500003814697,78.7328033447266,4.19999980926514
Regular,FDX52,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.0420877486467361,11.5,192.682006835938,4.19999980926514
Regular,FDN08,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.0885438695549965,7.71999979019165,117.546600341797,4.19999980926514
Regular,FDW44,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.0352225042879581,9.5,170.144805908203,4.19999980926514
Regular,FDW31,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.0432456284761429,11.3500003814697,199.474197387695,4.19999980926514
Regular,FDJ44,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.106542885303497,12.3000001907349,173.239593505859,4.19999980926514
Regular,FDF08,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.0653398036956787,14.3000001907349,89.1856002807617,4.19999980926514
Regular,FDH44,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.0259246230125427,19.1000003814697,148.041793823242,4.19999980926514
Regular,FDE33,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.0497362688183784,19.3500003814697,76.8644027709961,4.19999980926514
Regular,FDO03,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,0.0369577780365944,10.3950004577637,230.535202026367,4.19999980926514
Regular,FDS45,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.0295557733625174,5.17500019073486,105.962196350098,4.19999980926514
Regular,FDP45,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.0306869521737099,15.6999998092651,253.472396850586,4.19999980926514
Regular,FDS22,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.0232013575732708,16.8500003814697,45.942798614502,4.19999980926514
Regular,DRM49,Soft Drinks,2015,OUT045,Tier 2,High,Supermarket Type1,0.152262166142464,6.1100001335144,44.4085998535156,4.19999980926514
Regular,FDQ49,Breakfast,2020,OUT017,Tier 2,High,Supermarket Type1,0.039469737559557,20.2000007629395,155.162994384766,4.19999980926514
Regular,FDH02,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,0.0208986904472113,7.26999998092651,92.2488021850586,4.19999980926514
